protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
fgsr,0,0,0,21,8,0,0
unfenced,0,1,8,21,8,10,3
vssr,0,1,8,21,8,18,3
epoch,0,0,0,40,8,0,0
fgsr,1,0,0,21,8,0,0
unfenced,1,1,8,21,8,10,3
vssr,1,1,8,21,8,18,3
epoch,1,0,0,40,8,0,0
fgsr,2,0,0,22,10,0,0
unfenced,2,1,10,22,10,10,3
vssr,2,1,10,22,10,20,3
epoch,2,0,0,40,10,0,0
fgsr,3,0,0,22,9,0,0
unfenced,3,1,9,22,9,10,3
vssr,3,1,9,22,9,19,3
epoch,3,0,0,40,9,0,0
fgsr,4,0,0,21,10,0,0
unfenced,4,1,10,21,10,10,3
vssr,4,1,10,21,10,20,3
epoch,4,0,0,40,10,0,0
fgsr,5,0,0,20,10,0,0
unfenced,5,1,10,20,10,10,3
vssr,5,1,10,20,10,20,3
epoch,5,0,0,40,10,0,0
fgsr,6,0,0,21,9,0,0
unfenced,6,1,9,21,9,10,3
vssr,6,1,9,21,9,19,3
epoch,6,0,0,40,9,0,0
fgsr,7,0,0,20,5,0,0
unfenced,7,1,5,20,5,10,3
vssr,7,1,5,20,5,15,3
epoch,7,0,0,40,5,0,0
fgsr,8,0,0,22,8,0,0
unfenced,8,1,8,22,8,10,3
vssr,8,1,8,22,8,18,3
epoch,8,0,0,40,8,0,0
fgsr,9,0,0,20,10,0,0
unfenced,9,1,10,20,10,10,3
vssr,9,1,10,20,10,20,3
epoch,9,0,0,40,10,0,0
fgsr,10,0,0,22,10,0,0
unfenced,10,1,10,22,10,10,3
vssr,10,1,10,22,10,20,3
epoch,10,0,0,40,10,0,0
fgsr,11,0,0,18,9,0,0
unfenced,11,1,9,18,9,10,3
vssr,11,1,9,18,9,19,3
epoch,11,0,0,40,9,0,0
fgsr,12,0,0,18,8,0,0
unfenced,12,1,8,18,8,10,3
vssr,12,1,8,18,8,18,3
epoch,12,0,0,40,8,0,0
fgsr,13,0,0,20,10,0,0
unfenced,13,1,10,20,10,10,3
vssr,13,1,10,20,10,20,3
epoch,13,0,0,40,10,0,0
fgsr,14,0,0,21,7,0,0
unfenced,14,1,7,21,7,10,3
vssr,14,1,7,21,7,17,3
epoch,14,0,0,40,7,0,0
fgsr,15,0,0,20,6,0,0
unfenced,15,1,6,20,6,10,3
vssr,15,1,6,20,6,16,3
epoch,15,0,0,40,6,0,0
fgsr,16,0,0,20,10,0,0
unfenced,16,1,10,20,10,10,3
vssr,16,1,10,20,10,20,3
epoch,16,0,0,40,10,0,0
fgsr,17,0,0,17,10,0,0
unfenced,17,1,10,17,10,10,3
vssr,17,1,10,17,10,20,3
epoch,17,0,0,40,10,0,0
fgsr,18,0,0,20,7,0,0
unfenced,18,1,7,20,7,10,3
vssr,18,1,7,20,7,17,3
epoch,18,0,0,40,7,0,0
fgsr,19,0,0,21,6,0,0
unfenced,19,1,6,21,6,10,3
vssr,19,1,6,21,6,16,3
epoch,19,0,0,40,6,0,0
fgsr,20,0,0,20,9,0,0
unfenced,20,1,9,20,9,10,3
