protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
fgsr,0,0,0,9,6,0,0
unfenced,0,1,6,9,6,7,2
vssr,0,1,6,9,6,13,2
epoch,0,0,0,16,6,0,0
fgsr,1,0,0,10,4,0,0
unfenced,1,1,4,10,4,7,2
vssr,1,1,4,10,4,11,2
epoch,1,0,0,16,4,0,0
fgsr,2,0,0,10,4,0,0
unfenced,2,1,4,10,4,7,2
vssr,2,1,4,10,4,11,2
epoch,2,0,0,16,4,0,0
fgsr,3,0,0,10,5,0,0
unfenced,3,1,5,10,5,7,2
vssr,3,1,5,10,5,12,2
epoch,3,0,0,16,5,0,0
fgsr,4,0,0,10,6,0,0
unfenced,4,1,6,10,6,7,2
vssr,4,1,6,10,6,13,2
epoch,4,0,0,16,6,0,0
fgsr,5,0,0,10,5,0,0
unfenced,5,1,5,10,5,7,2
vssr,5,1,5,10,5,12,2
epoch,5,0,0,16,5,0,0
fgsr,6,0,0,10,7,0,0
unfenced,6,1,7,10,7,7,2
vssr,6,1,7,10,7,14,2
epoch,6,0,0,16,7,0,0
fgsr,7,0,0,7,6,0,0
unfenced,7,1,6,7,6,7,2
vssr,7,1,6,7,6,13,2
epoch,7,0,0,16,6,0,0
fgsr,8,0,0,10,4,0,0
unfenced,8,1,4,10,4,7,2
vssr,8,1,4,10,4,11,2
epoch,8,0,0,16,4,0,0
fgsr,9,0,0,10,6,0,0
unfenced,9,1,6,10,6,7,2
vssr,9,1,6,10,6,13,2
epoch,9,0,0,16,6,0,0
fgsr,10,0,0,10,7,0,0
unfenced,10,1,7,10,7,7,2
vssr,10,1,7,10,7,14,2
epoch,10,0,0,16,7,0,0
fgsr,11,0,0,9,5,0,0
unfenced,11,1,5,9,5,7,2
vssr,11,1,5,9,5,12,2
epoch,11,0,0,16,5,0,0
fgsr,12,0,0,10,5,0,0
unfenced,12,1,5,10,5,7,2
vssr,12,1,5,10,5,12,2
epoch,12,0,0,16,5,0,0
fgsr,13,0,0,10,5,0,0
unfenced,13,1,5,10,5,7,2
vssr,13,1,5,10,5,12,2
epoch,13,0,0,16,5,0,0
fgsr,14,0,0,9,7,0,0
unfenced,14,1,7,9,7,7,2
vssr,14,1,7,9,7,14,2
epoch,14,0,0,16,7,0,0
fgsr,15,0,0,10,6,0,0
unfenced,15,1,6,10,6,7,2
vssr,15,1,6,10,6,13,2
epoch,15,0,0,16,6,0,0
fgsr,16,0,0,10,4,0,0
unfenced,16,1,4,10,4,7,2
vssr,16,1,4,10,4,11,2
epoch,16,0,0,16,4,0,0
fgsr,17,0,0,10,5,0,0
unfenced,17,1,5,10,5,7,2
vssr,17,1,5,10,5,12,2
epoch,17,0,0,16,5,0,0
