order,kind,configuration,window,model_version,client,node,record_version,protection_context,source_window,delivered,update_id,source_update_id,source_generation,target_generation,handoff_attempt_id,retrained
1,client_update,C0,sid-0,v0,u-sid-0-0,-,1,ctx-C0-0,-,true,upd-sid-0-u-sid-0-0,-,-,-,-,false
2,client_update,C0,sid-0,v0,u-sid-0-1,-,1,ctx-C0-0,-,true,upd-sid-0-u-sid-0-1,-,-,-,-,false
3,window_finalize,-,sid-0,v0,-,-,1,-,-,true,-,-,-,-,-,false
4,erase_receipt,C0,sid-0,-,-,-,-,-,-,true,-,-,0,-,-,false
5,client_update,C0,sid-1,v0,u-sid-1-0,-,1,ctx-C0-0,-,true,upd-sid-1-u-sid-1-0,-,-,-,-,false
6,client_update,C0,sid-1,v0,u-sid-1-1,-,1,ctx-C0-0,-,true,upd-sid-1-u-sid-1-1,-,-,-,-,false
7,client_update,C0,sid-2,v0,u-sid-2-0,-,1,ctx-C0-0,-,true,upd-sid-2-u-sid-2-0,-,-,-,-,false
8,client_update,C0,sid-2,v0,u-sid-2-1,-,1,ctx-C0-0,-,true,upd-sid-2-u-sid-2-1,-,-,-,-,false
9,client_update,C0,sid-3,v0,u-sid-3-0,-,1,ctx-C0-0,-,true,upd-sid-3-u-sid-3-0,-,-,-,-,false
10,client_update,C0,sid-3,v0,u-sid-3-1,-,1,ctx-C0-0,-,true,upd-sid-3-u-sid-3-1,-,-,-,-,false
11,node_corrupt,C0,-,-,-,p2,-,-,-,true,-,-,-,-,-,false
12,config_install,C1,-,-,-,-,-,-,-,true,-,-,-,-,-,false
13,committee_leave,C0,-,-,-,p2,-,-,-,true,-,-,-,-,-,false
14,node_release,C0,-,-,-,p2,-,-,-,true,-,-,-,-,-,false
15,node_corrupt,C1,-,-,-,p3,-,-,-,true,-,-,-,-,-,false
16,client_update,C0,sid-1,v0,late-sid-1,-,1,ctx-C0-0,-,true,upd-sid-1-late-sid-1,-,-,-,-,false
17,client_update,C0,sid-2,v0,late-sid-2,-,1,ctx-C0-0,-,true,upd-sid-2-late-sid-2,-,-,-,-,false
18,client_update,C0,sid-3,v0,late-sid-3,-,1,ctx-C0-0,-,true,upd-sid-3-late-sid-3,-,-,-,-,false
19,recover_state,C1,sid-1,v0,-,p3,2,ctx-C1-1,-,true,-,-,0,1,h-C1-sid-1,false
20,handoff_confirm,C1,sid-1,v0,-,-,2,ctx-C1-1,-,true,-,-,0,1,h-C1-sid-1,false
21,client_update,C1,sid-1,v0,late-sid-1,-,2,ctx-C1-1,-,true,upd-late-sid-1,-,1,-,-,false
22,erase_receipt,C0,sid-1,-,-,-,-,-,-,true,-,-,0,-,h-C1-sid-1,false
23,client_update,C1,sid-1,v0,late-sid-1,-,3,ctx-C1-1,-,true,upd-late-sid-1,-,1,-,-,false
24,client_resubmit,C1,sid-1-reroute,v0,late-sid-1,-,1,ctx-C1-1,sid-1,true,upd-reroute-sid-1,upd-late-sid-1,-,-,-,false
25,window_finalize,C1,sid-1,v0,-,-,2,ctx-C1-1,-,true,-,-,-,-,-,false
26,erase_receipt,C1,sid-1,-,-,-,-,-,-,true,-,-,1,-,-,false
27,window_finalize,C1,sid-1-reroute,v0,-,-,1,ctx-C1-1,-,true,-,-,-,-,-,false
